iter	Passed	Remaining
932	5251	377
933	5254	371
934	5258	365
935	5262	359
936	5265	354
937	5269	348
938	5273	342
939	5312	339
940	5317	333
941	5321	327
942	5328	322
943	5332	316
944	5337	310
945	5341	304
946	5344	299
947	5347	293
948	5350	287
949	5354	281
950	5358	276
951	5361	270
952	5364	264
953	5367	258
954	5372	253
955	5376	247
956	5379	241
957	5382	235
958	5386	230
959	5390	224
960	5393	218
961	5397	213
962	5400	207
963	5405	201
964	5408	196
965	5411	190
966	5415	184
967	5419	179
968	5423	173
969	5426	167
970	5430	162
971	5434	156
972	5438	150
973	5442	145
974	5445	139
975	5449	133
976	5455	128
977	5458	122
978	5462	117
979	5466	111
980	5487	106
981	5491	100
982	5495	95
983	5499	89
984	5502	83
985	5505	78
986	5508	72
987	5511	66
988	5516	61
989	5520	55
990	5523	50
991	5526	44
992	5529	38
993	5534	33
994	5538	27
995	5542	22
996	5545	16
997	5551	11
998	5556	5
999	5560	0
